# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)               |        irq_enter_rcu() {
   0)               |          tick_irq_enter() {
   0)   0.132 us    |            tick_check_oneshot_broadcast_this_cpu();
   0)   0.364 us    |          }
   0)   0.100 us    |          _local_bh_enable();
   0)   0.830 us    |        }
   0)               |        __sysvec_call_function_single() {
   0)               |          generic_smp_call_function_single_interrupt() {
   0)               |            flush_smp_call_function_queue() {
   0)               |              sched_ttwu_pending() {
   0)   0.099 us    |                _raw_spin_lock_irqsave();
   0)   0.107 us    |                update_rq_clock();
   0)               |                ttwu_do_activate() {
   0)               |                  psi_task_change() {
   0)   0.099 us    |                    psi_flags_change();
   0)               |                    psi_group_change() {
   0)   0.105 us    |                      record_times();
   0)   0.330 us    |                    }
   0)   0.756 us    |                  }
   0)               |                  enqueue_task_fair() {
   0)               |                    enqueue_entity() {
   0)   0.103 us    |                      update_curr();
   0)   0.113 us    |                      __update_load_avg_se();
   0)   0.104 us    |                      __update_load_avg_cfs_rq();
   0)   0.100 us    |                      update_cfs_group();
   0)   0.112 us    |                      account_entity_enqueue();
   0)   1.150 us    |                    }
   0)   0.108 us    |                    hrtick_update();
   0)   1.563 us    |                  }
   0)               |                  ttwu_do_wakeup() {
   0)               |                    check_preempt_curr() {
   0)   0.098 us    |                      resched_curr();
   0)   0.320 us    |                    }
   0)   0.600 us    |                  }
   0)   3.373 us    |                }
   0)   0.105 us    |                _raw_spin_unlock_irqrestore();
   0)   4.194 us    |              }
   0)   4.423 us    |            }
   0)   4.622 us    |          }
   0)   5.024 us    |        }
   0)               |        irq_exit_rcu() {
   0)   0.096 us    |          idle_cpu();
   0)   0.287 us    |        }
   0)   7.093 us    |      }
   0)               |      rcu_note_context_switch() {
   0)   0.098 us    |        rcu_qs();
   0)   0.347 us    |      }
   0)   0.095 us    |      _raw_spin_lock();
   0)   0.105 us    |      update_rq_clock();
   0)               |      pick_next_task_fair() {
   0)   0.096 us    |        put_prev_task_idle();
   0)               |        pick_next_entity() {
   0)   0.097 us    |          clear_buddies();
   0)   0.294 us    |        }
   0)               |        set_next_entity() {
   0)   0.099 us    |          __update_load_avg_se();
   0)   0.100 us    |          __update_load_avg_cfs_rq();
   0)   0.509 us    |        }
   0)   1.338 us    |      }
   0)               |      psi_task_switch() {
   0)   0.098 us    |        psi_flags_change();
   0)               |        psi_group_change() {
   0)   0.108 us    |          record_times();
   0)   0.323 us    |        }
   0)   0.741 us    |      }
   0)   0.096 us    |      enter_lazy_tlb();
 ------------------------------------------
   0)    <idle>-0    => kworker-15548 
 ------------------------------------------

   0)   0.122 us    |    finish_task_switch();
   0)               |    wq_worker_running() {
   0)   0.116 us    |      kthread_data();
   0)   0.340 us    |    }
   0) ! 227.588 us  |  } /* schedule */
   0)   0.098 us    |  _raw_spin_lock_irq();
   0)               |  process_one_work() {
   0)               |    flush_to_ldisc() {
   0)               |      mutex_lock() {
   0)               |        _cond_resched() {
   0)   0.098 us    |          rcu_all_qs();
   0)   0.283 us    |        }
   0)   0.479 us    |      }
   0)               |      tty_port_default_receive_buf() {
   0)               |        tty_ldisc_ref() {
   0)   0.122 us    |          ldsem_down_read_trylock();
   0)   0.326 us    |        }
   0)               |        tty_ldisc_receive_buf() {
   0)               |          n_tty_receive_buf2() {
   0)               |            n_tty_receive_buf_common() {
   0)               |              down_read() {
   0)               |                _cond_resched() {
   0)   0.103 us    |                  rcu_all_qs();
   0)   0.296 us    |                }
   0)   0.527 us    |              }
   0)               |              __receive_buf() {
   0)   0.136 us    |                n_tty_receive_buf_real_raw.constprop.0.isra.0();
   0)   0.104 us    |                kill_fasync();
   0)               |                __wake_up() {
   0)               |                  __wake_up_common_lock() {
   0)   0.128 us    |                    _raw_spin_lock_irqsave();
   0)               |                    __wake_up_common() {
   0)               |                      pollwake() {
   0)               |                        default_wake_function() {
   0)               |                          try_to_wake_up() {
   0)   0.122 us    |                            _raw_spin_lock_irqsave();
   0)               |                            select_task_rq_fair() {
   0)               |                              select_idle_sibling() {
   0)   0.118 us    |                                available_idle_cpu();
   0)   0.132 us    |                                cpus_share_cache();
   0)   0.624 us    |                              }
   0)   0.905 us    |                            }
   0)   0.125 us    |                            ttwu_queue_wakelist();
   0)   0.131 us    |                            _raw_spin_lock();
   0)   0.136 us    |                            update_rq_clock();
   0)               |                            ttwu_do_activate() {
   0)               |                              psi_task_change() {
   0)   0.113 us    |                                psi_flags_change();
   0)               |                                psi_group_change() {
   0)   0.120 us    |                                  record_times();
   0)   0.401 us    |                                }
   0)               |                                psi_group_change() {
   0)   0.136 us    |                                  record_times();
   0)   0.388 us    |                                }
   0)               |                                psi_group_change() {
   0)   0.115 us    |                                  record_times();
   0)   0.358 us    |                                }
   0)               |                                psi_group_change() {
   0)   0.134 us    |                                  record_times();
   0)   0.399 us    |                                }
   0)               |                                psi_group_change() {
   0)   0.136 us    |                                  record_times();
   0)   0.368 us    |                                }
